Description,Comment,Designator,Footprint,Part Number,Alternative Part,Quantity

"Battery","MS621FE-FL11E","BAT1","MS621","MS621FE FL11E","","1"
"Piezoelectric Sounders","L-KLS3-SMT-09X1.8","BUZ1","SPKR_PKMCS0909E4000-R1","L-KLS3-SMT-09X1.8","PKLCS1212E40A1-R1","1"
"Capacitor","8pF 50V","C1, C2, C5, C6, C44, C45","C_0603","CC0603DRNPO9BN8R0","","6"
"Capacitor","100nF 16V","C3, C4, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C39, C40, C41, C42, C43","C_0603","CC0603KPX7R9BB104","","17"
"Capacitor","0.1uF","C7, C21, C22, C23, C24, C25, C26, C27","C_0603","CC0603KPX7R9BB104","","8"
"Capacitor","2.2uF 16V","C8, C9","C_0603","CC0603KRX5R7BB225","","2"
"Tantal Capacitor","10uF 10V","C10","TANTAL_TYPE_A","293D106X9010A2TE3","","1"
"Capacitor","100nF 50V","C28, C29, C30, C31, C32","C_0603","CC0603JPX7R9BB104","","5"
"Capacitor","470pF 16V","C33","C_0603","CC0603KRX7R9BB471","","1"
"Tantal Capacitor","150uF 16V","C34","TANTAL_TYPE_D","CA45-D016K157T","","1"
"Tantal Capacitor","47uF 35V","C35","TANTAL_TYPE_X","T491X476K035AT","","1"
"Capacitor","1uF 16V X5R","C36","C_0603","CC0603KRX7R7BB105","","1"
"Capacitor","10nF 16V","C37","C_0603","CC0603JRX7R7BB103","","1"
"Capacitor","1uF 16V","C38","C_0603","CC0603KRX7R7BB105","","1"
"Capacitor","1uF","C46, C51, C52","C_0603","CC0603KRX7R9BB105","","3"
"Capacitor","10uF","C47","C_0603","CC0603MRX5R8BB106","","1"
"Capacitor","30pF","C48, C53","C_0603","CC0603JRNPO9BN300","","2"
"Capacitor","0.022uF","C49","C_0603","CC0603KRX7R9BB223","","1"
"Capacitor","470pF","C50","C_0603","CC0603KRX7R9BB471","","1"
"Diode","BAT54","D1","SOT23","BAT54","","1"
"ESD","ESDCAN24-2BLY","D2","SOT23","ESDCAN24-2BLY","","1"
